Metric,Basis,Dimension,Log,Pearson Rho,Spearman Rho,Pearson P,Spearman P,n,N Pop,Delta Pearson Spearman,Shape,Preferred Correlation,RelCI 100,RelCI 500,RelCI 1000,Plateau n,Plateau Found,Plateau Reached,Timestamp
Avg. Trace Length,PD,Size,CREDIT_S,0.0261773560,0.0541878542,0.4082897560,0.0867703873,1000,10000,0.0280104982,Linear,Pearson,0.02566439604720328,0.0086456805,0.0068810418904403925,100.0000000000,True,Y (100),2026-04-27T10:15:02.501786
Avg. Trace Length,PD,Size,MEAN,0.0112572563,0.0158760662,0.4384933423,0.6112511285,1000,10000,0.0194250557,,,0.07245102454626691,0.0307947992,0.019675957271344715,100.0000000000,4 / 4,4 / 4 (avg. 100),2026-04-27T10:15:02.661498
Max. Trace Length,PD,Size,O2C_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.503562
Max. Trace Length,PD,Size,CLAIM_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.505774
Max. Trace Length,PD,Size,LOAN_S,0.5039026944,0.5358580120,0.0000000000,0.0000000000,1000,10000,0.0319553177,Linear,Pearson,0.28758542141230053,0.1553599171,0.23969319271332695,4100.0000000000,True,Y (4100),2026-04-27T10:15:02.507464
Max. Trace Length,PD,Size,CREDIT_S,0.4681541553,0.4827742911,0.0000000000,0.0000000000,1000,10000,0.0146201357,Linear,Pearson,0.22598870056497175,0.2034587996,0.1892147587511826,2100.0000000000,True,Y (2100),2026-04-27T10:15:02.509382
Max. Trace Length,PD,Size,MEAN,0.4860284248,0.5093161515,0.0000000000,0.0000000000,1000,10000,0.0232877267,,,0.12839353049431806,0.0897046792,0.10722698786612739,1600.0000000000,4 / 4,4 / 4 (avg. 1600),2026-04-27T10:15:02.669375
Percentage of Distinct Traces,PC,Variation,O2C_S,-0.8033982148,-0.9687488670,0.0000000000,0.0000000000,1000,10000,0.1653506522,Asymptotic,Spearman,0.3442340791738383,0.2936857562,0.2607561929595827,,False,N,2026-04-27T10:15:02.512261
Percentage of Distinct Traces,PC,Variation,CLAIM_S,-0.8088069910,-0.9948717241,0.0000000000,0.0000000000,1000,10000,0.1860647331,Asymptotic,Spearman,0.20283975659229211,0.0000000000,0.19455252918287935,,False,N,2026-04-27T10:15:02.514849
Percentage of Distinct Traces,PC,Variation,LOAN_S,-0.8594907405,-0.9784695941,0.0000000000,0.0000000000,1000,10000,0.1189788535,Linear,Pearson,0.3988603988603987,0.1907790143,0.20602626834921434,,False,N,2026-04-27T10:15:02.516689
Percentage of Distinct Traces,PC,Variation,CREDIT_S,-0.8167068060,-0.9703549519,0.0000000000,0.0000000000,1000,10000,0.1536481459,Asymptotic,Spearman,0.4680187207488299,0.2419354839,0.2895752895752896,,False,N,2026-04-27T10:15:02.518596
Percentage of Distinct Traces,PC,Variation,MEAN,-0.8221006881,-0.9781112843,0.0000000000,0.0000000000,1000,10000,0.1560105962,,,0.35348823884383973,0.1816000636,0.2377275700167415,,0 / 4,0 / 4,2026-04-27T10:15:02.683151
Average Distinct Activities per Trace,PD,Variation,O2C_S,-0.0267857916,-0.0067085585,0.3974782701,0.8322004212,1000,10000,0.0200772331,Linear,Pearson,0.06379720993535212,0.0269008894,0.017268653343509657,100.0000000000,True,Y (100),2026-04-27T10:15:02.523029
Average Distinct Activities per Trace,PD,Variation,CLAIM_S,0.0190930707,0.0178690303,0.5464583136,0.5724773975,1000,10000,0.0012240403,Linear,Pearson,0.090420299424598,0.0428742024,0.027359494992976265,100.0000000000,True,Y (100),2026-04-27T10:15:02.525494
Average Distinct Activities per Trace,PD,Variation,LOAN_S,0.0227008114,-0.0107236835,0.4733387767,0.7348370588,1000,10000,0.0334244948,Linear,Pearson,0.07259054892922628,0.0303084733,0.017430515246030637,100.0000000000,True,Y (100),2026-04-27T10:15:02.526966
Average Distinct Activities per Trace,PD,Variation,CREDIT_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.528829
Average Distinct Activities per Trace,PD,Variation,MEAN,0.0050026968,0.0001455961,0.4724251201,0.7131716258,1000,10000,0.0182419227,,,0.0567020145722941,0.0250208913,0.01551466589562914,100.0000000000,4 / 4,4 / 4 (avg. 100),2026-04-27T10:15:02.656672
Structure,PC,Variation,O2C_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.531136
Structure,PC,Variation,CLAIM_S,-0.1630700133,-0.1630700133,0.0000002160,0.0000002160,1000,10000,0.0000000000,Linear,Pearson,0.024336821611097636,0.0000000000,0.0,1100.0000000000,True,Y (1100),2026-04-27T10:15:02.533019
Structure,PC,Variation,LOAN_S,-0.5811121597,-0.5967251783,0.0000000000,0.0000000000,1000,10000,0.0156130186,Linear,Pearson,0.0075203048230222894,0.0025171164,0.0,1100.0000000000,True,Y (1100),2026-04-27T10:15:02.535206
Structure,PC,Variation,CREDIT_S,-0.3485655211,-0.3708288949,0.0000000000,0.0000000000,1000,10000,0.0222633738,Linear,Pearson,0.04012841091492777,0.0611122428,0.06172839506172839,5100.0000000000,True,Y (5100),2026-04-27T10:15:02.537281
Structure,PC,Variation,MEAN,-0.3642492314,-0.3768746955,0.0000000720,0.0000000720,1000,10000,0.0126254641,,,0.017996384337261924,0.0159073398,0.015432098765432098,1850.0000000000,4 / 4,4 / 4 (avg. 1850),2026-04-27T10:15:02.684235
Estimated Number of Acyclic Paths,PC,Variation,O2C_S,,,,,1000,10000,,Asymptotic,Spearman,0.0,0.0000000000,0.0,100.0000000000,True,Y (100),2026-04-27T10:15:02.539574
Estimated Number of Acyclic Paths,PC,Variation,CLAIM_S,0.1630700133,0.1630700133,0.0000002160,0.0000002160,1000,10000,0.0000000000,Linear,Pearson,0.4414271740434087,0.0000000000,0.0,1100.0000000000,True,Y (1100),2026-04-27T10:15:02.541365
Estimated Number of Acyclic Paths,PC,Variation,LOAN_S,0.5916728623,0.5967251783,0.0000000000,0.0000000000,1000,10000,0.0050523160,Linear,Pearson,0.5925821396244311,0.1762999394,0.0,1100.0000000000,True,Y (1100),2026-04-27T10:15:02.543035
Estimated Number of Acyclic Paths,PC,Variation,CREDIT_S,0.3414439070,0.3708288949,0.0000000000,0.0000000000,1000,10000,0.0293849880,Linear,Pearson,0.42970446749812236,0.6085113125,0.5549764309031057,5100.0000000000,True,Y (5100),2026-04-27T10:15:02.546440
Estimated Number of Acyclic Paths,PC,Variation,MEAN,0.3653955942,0.3768746955,0.0000000720,0.0000000720,1000,10000,0.0114791013,,,0.36592844529149054,0.1962028130,0.13874410772577642,1850.0000000000,4 / 4,4 / 4 (avg. 1850),2026-04-27T10:15:02.667140
Number of Ties in Paths to Goal,CT,Variation,O2C_S,0.6031547366,0.6064270630,0.0000000000,0.0000000000,1000,10000,0.0032723263,Linear,Pearson,0.39184049786792674,0.3276476824,0.2871864177717713,,False,N,2026-04-27T10:15:02.547997
Number of Ties in Paths to Goal,CT,Variation,CLAIM_S,0.1683681184,0.1666038791,0.0000000851,0.0000001165,1000,10000,0.0017642393,Linear,Pearson,0.31282586027111575,0.0000000000,0.29354207436399216,2100.0000000000,True,Y (2100),2026-04-27T10:15:02.550453
Number of Ties in Paths to Goal,CT,Variation,LOAN_S,0.9154010361,0.9234572274,0.0000000000,0.0000000000,1000,10000,0.0080561913,Linear,Pearson,0.38789890099319435,0.2231385996,0.20192802186167047,,False,N,2026-04-27T10:15:02.552387
Number of Ties in Paths to Goal,CT,Variation,CREDIT_S,0.7327615345,0.7292855989,0.0000000000,0.0000000000,1000,10000,0.0034759356,Linear,Pearson,0.5936445116982889,0.4297129811,0.37808437251260285,9100.0000000000,True,Y (9100),2026-04-27T10:15:02.554760
Number of Ties in Paths to Goal,CT,Variation,MEAN,0.6049213564,0.6064434421,0.0000000213,0.0000000291,1000,10000,0.0041421731,,,0.4215524427076314,0.2451248158,0.2901852216275092,,2 / 4,2 / 4,2026-04-27T10:15:02.681390
Lempel-Ziv Complexity,CT,Variation,O2C_S,0.9942110293,0.9949997881,0.0000000000,0.0000000000,1000,10000,0.0007887588,Linear,Pearson,0.05279831045406547,0.0287253782,0.026118172264878885,,False,N,2026-04-27T10:15:02.556278
Lempel-Ziv Complexity,CT,Variation,CLAIM_S,0.9953012750,0.9950044926,0.0000000000,0.0000000000,1000,10000,0.0002967824,Linear,Pearson,0.040105879521937914,0.0388504294,0.025368293257470056,,False,N,2026-04-27T10:15:02.558924
Lempel-Ziv Complexity,CT,Variation,LOAN_S,0.9956962622,0.9949906569,0.0000000000,0.0000000000,1000,10000,0.0007056053,Linear,Pearson,0.0762418097661651,0.0628754244,0.06473506648144488,,False,N,2026-04-27T10:15:02.561643
Lempel-Ziv Complexity,CT,Variation,CREDIT_S,0.9919629716,0.9927687243,0.0000000000,0.0000000000,1000,10000,0.0008057527,Linear,Pearson,0.147163823879413,0.1119797868,0.11505076001550898,,False,N,2026-04-27T10:15:02.564668
Lempel-Ziv Complexity,CT,Variation,MEAN,0.9942928845,0.9944409155,0.0000000000,0.0000000000,1000,10000,0.0006492248,,,0.07907745590539537,0.0606077547,0.0578180730048257,,0 / 4,0 / 4,2026-04-27T10:15:02.668816
Average Affinity,CT,Distance,O2C_S,-0.0266859756,0.0095736979,0.3992400181,0.7623660675,1000,10000,0.0362596735,Linear,Pearson,0.15823598523658253,0.0657422282,0.042339491117385844,100.0000000000,True,Y (100),2026-04-27T10:15:02.567122
Average Affinity,CT,Distance,CLAIM_S,0.0231211686,0.0387032240,0.4651831720,0.2213936031,1000,10000,0.0155820554,Linear,Pearson,0.15017482090853843,0.0716213871,0.046136629192441526,100.0000000000,True,Y (100),2026-04-27T10:15:02.569270
Average Affinity,CT,Distance,LOAN_S,-0.0058427344,0.0412105918,0.8535945784,0.1928765363,1000,10000,0.0470533262,Linear,Pearson,0.059483659704215784,0.0244190988,0.01576973864998914,100.0000000000,True,Y (100),2026-04-27T10:15:02.571054
Average Affinity,CT,Distance,CREDIT_S,0.0025880002,0.0888347789,0.9348554338,0.0049349662,1000,10000,0.0862467787,Linear,Pearson,0.019271635421954175,0.0077544328,0.005309379079126676,100.0000000000,True,Y (100),2026-04-27T10:15:02.572766
Average Affinity,CT,Distance,MEAN,-0.0017048853,0.0445805731,0.6632183006,0.2953927933,1000,10000,0.0462854584,,,0.09679152531782273,0.0423842867,0.027388809509735795,100.0000000000,4 / 4,4 / 4 (avg. 100),2026-04-27T10:15:02.653289
Deviation from Random,CT,Distance,O2C_S,0.1492565315,0.1393634432,0.0000021311,0.0000097273,1000,10000,0.0098930884,Linear,Pearson,0.007468461066793159,0.0032229835,0.0017460153518846831,2100.0000000000,True,Y (2100),2026-04-27T10:15:02.575022
Deviation from Random,CT,Distance,CLAIM_S,0.0548227964,0.1146443261,0.0831340724,0.0002803389,1000,10000,0.0598215297,Linear,Pearson,0.004908805898439902,0.0015340434,0.0009958669715810818,1100.0000000000,True,Y (1100),2026-04-27T10:15:02.578455
Deviation from Random,CT,Distance,LOAN_S,0.1309349003,0.0967876053,0.0000327803,0.0021835441,1000,10000,0.0341472951,Linear,Pearson,0.006804594063574085,0.0029721273,0.0022268235373076152,100.0000000000,True,Y (100),2026-04-27T10:15:02.581915
Deviation from Random,CT,Distance,CREDIT_S,0.0433146007,-0.0302771914,0.1711064693,0.3388345115,1000,10000,0.0735917921,Linear,Pearson,0.00865586997009324,0.0034519571,0.002769014402330042,100.0000000000,True,Y (100),2026-04-27T10:15:02.585798
Deviation from Random,CT,Distance,MEAN,0.0945822072,0.0801295458,0.0635688633,0.0853270304,1000,10000,0.0443634263,,,0.006959432749725096,0.0027952778,0.0019344300657758555,850.0000000000,4 / 4,4 / 4 (avg. 850),2026-04-27T10:15:02.664602
Average Edit Distance,CT,Distance,O2C_S,0.0680553004,0.0248385182,0.0314051430,0.4326872122,1000,10000,0.0432167823,Linear,Pearson,0.41286834001753214,0.1663713049,0.10655734512791155,100.0000000000,True,Y (100),2026-04-27T10:15:02.588702
Average Edit Distance,CT,Distance,CLAIM_S,-0.0339551909,-0.0354420756,0.2833950682,0.2628301782,1000,10000,0.0014868847,Linear,Pearson,0.24251531985289054,0.1134850100,0.0759316121079224,100.0000000000,True,Y (100),2026-04-27T10:15:02.591396
Average Edit Distance,CT,Distance,LOAN_S,0.0200291524,-0.0007971964,0.5269630792,0.9799129543,1000,10000,0.0208263488,Linear,Pearson,0.15879860131055,0.0738255441,0.051574290446372635,100.0000000000,True,Y (100),2026-04-27T10:15:02.593570
Average Edit Distance,CT,Distance,CREDIT_S,0.0130161063,0.0200541338,0.6809933204,0.5264477042,1000,10000,0.0070380275,Linear,Pearson,0.27497009252050547,0.0764159076,0.05911104283333418,100.0000000000,True,Y (100),2026-04-27T10:15:02.595810
Average Edit Distance,CT,Distance,MEAN,0.0167863420,0.0021633450,0.3806891527,0.5504695122,1000,10000,0.0181420108,,,0.27228808842536956,0.1075244416,0.0732935726288852,100.0000000000,4 / 4,4 / 4 (avg. 100),2026-04-27T10:15:02.659084
Sequence Entropy,CT,Graph Entropy,O2C_S,0.9461054330,0.9625694562,0.0000000000,0.0000000000,1000,10000,0.0164640232,Linear,Pearson,0.600517080328383,0.4193256237,0.3800189428488524,,False,N,2026-04-27T10:15:02.598168
Sequence Entropy,CT,Graph Entropy,CLAIM_S,0.7445953877,0.7757565561,0.0000000000,0.0000000000,1000,10000,0.0311611684,Linear,Pearson,1.6036305201987526,1.2986207852,1.5191861128637256,,False,N,2026-04-27T10:15:02.601100
Sequence Entropy,CT,Graph Entropy,LOAN_S,0.9899736140,0.9897163373,0.0000000000,0.0000000000,1000,10000,0.0002572767,Linear,Pearson,0.3656276660513018,0.2315055066,0.1901420487943579,,False,N,2026-04-27T10:15:02.605250
Sequence Entropy,CT,Graph Entropy,CREDIT_S,0.9342902339,0.9578863794,0.0000000000,0.0000000000,1000,10000,0.0235961456,Linear,Pearson,0.47723279267561264,0.5053498803,0.5229565445999467,,False,N,2026-04-27T10:15:02.609758
Sequence Entropy,CT,Graph Entropy,MEAN,0.9037411671,0.9214821823,0.0000000000,0.0000000000,1000,10000,0.0178696535,,,0.7617520148135125,0.6137004489,0.6530759122767207,,0 / 4,0 / 4,2026-04-27T10:15:02.683736
Normalized Sequence Entropy,CT,Graph Entropy,O2C_S,-0.1992318956,-0.3889751711,0.0000000002,0.0000000000,1000,10000,0.1897432755,Asymptotic,Spearman,0.5826128171921321,0.4372225293,0.37193270584364646,,False,N,2026-04-27T10:15:02.612982
Normalized Sequence Entropy,CT,Graph Entropy,CLAIM_S,-0.0409952451,-0.2131240150,0.1952144824,0.0000000000,1000,10000,0.1721287700,Asymptotic,Spearman,1.5675288690271358,1.2962498707,1.5327888177807372,100.0000000000,True,Y (100),2026-04-27T10:15:02.616342
Normalized Sequence Entropy,CT,Graph Entropy,LOAN_S,-0.5044941497,-0.4758587227,0.0000000000,0.0000000000,1000,10000,0.0286354270,Linear,Pearson,0.31040769462635465,0.2205679613,0.1950758564845043,5100.0000000000,True,Y (5100),2026-04-27T10:15:02.620796
Normalized Sequence Entropy,CT,Graph Entropy,CREDIT_S,-0.2736365098,-0.3523837346,0.0000000000,0.0000000000,1000,10000,0.0787472248,Linear,Pearson,0.44754180325514165,0.5060659289,0.5193585595090987,1100.0000000000,True,Y (1100),2026-04-27T10:15:02.622767
Normalized Sequence Entropy,CT,Graph Entropy,MEAN,-0.2545894500,-0.3575854109,0.0488036206,0.0000000000,1000,10000,0.1173136743,,,0.727022796025191,0.6150265726,0.6547889849044967,,3 / 4,3 / 4,2026-04-27T10:15:02.673736
Variant Entropy,CT,Graph Entropy,O2C_S,0.5974150880,0.5977042446,0.0000000000,0.0000000000,1000,10000,0.0002891567,Linear,Pearson,0.5517145410325148,0.5098392427,0.40576092872351915,,False,N,2026-04-27T10:15:02.624226
Variant Entropy,CT,Graph Entropy,CLAIM_S,0.1227361320,0.0791493609,0.0000997813,0.0122894959,1000,10000,0.0435867711,Linear,Pearson,0.6073779233361142,0.3407832437,0.6826187045131347,1100.0000000000,True,Y (1100),2026-04-27T10:15:02.625765
Variant Entropy,CT,Graph Entropy,LOAN_S,0.9063939876,0.9137856675,0.0000000000,0.0000000000,1000,10000,0.0073916799,Linear,Pearson,0.5250339355643209,0.2740013788,0.24759845923350496,,False,N,2026-04-27T10:15:02.628423
Variant Entropy,CT,Graph Entropy,CREDIT_S,0.6998421330,0.7101872125,0.0000000000,0.0000000000,1000,10000,0.0103450795,Linear,Pearson,0.7849231213738136,0.5431475023,0.5290629116698773,9100.0000000000,True,Y (9100),2026-04-27T10:15:02.630822
Variant Entropy,CT,Graph Entropy,MEAN,0.5815968352,0.5752066214,0.0000249453,0.0030723740,1000,10000,0.0154031718,,,0.6172623803266909,0.4169428419,0.466260251035009,,2 / 4,2 / 4,2026-04-27T10:15:02.686007
Normalized Variant Entropy,CT,Graph Entropy,O2C_S,0.6150483770,0.5941852977,0.0000000000,0.0000000000,1000,10000,0.0208630793,Linear,Pearson,0.15431316780864912,0.1370196597,0.1121789269751376,,False,N,2026-04-27T10:15:02.633435
Normalized Variant Entropy,CT,Graph Entropy,CLAIM_S,0.0669951735,0.0675224617,0.0341493380,0.0327598579,1000,10000,0.0005272882,Linear,Pearson,0.35377666749912495,0.3445581857,0.35225511607796434,100.0000000000,True,Y (100),2026-04-27T10:15:02.634914
Normalized Variant Entropy,CT,Graph Entropy,LOAN_S,0.8335240087,0.8520956638,0.0000000000,0.0000000000,1000,10000,0.0185716550,Linear,Pearson,0.10331148745454112,0.0507449223,0.04577655433282116,,False,N,2026-04-27T10:15:02.636926
Normalized Variant Entropy,CT,Graph Entropy,CREDIT_S,0.7480755239,0.7411656292,0.0000000000,0.0000000000,1000,10000,0.0069098947,Linear,Pearson,0.18774397738068707,0.0840456521,0.07777860759570301,9100.0000000000,True,Y (9100),2026-04-27T10:15:02.641961
Normalized Variant Entropy,CT,Graph Entropy,MEAN,0.5659107708,0.5637422631,0.0085373345,0.0081899645,1000,10000,0.0117179793,,,0.19978632503575056,0.1540921050,0.14699730124540653,,2 / 4,2 / 4,2026-04-27T10:15:02.674457
