Metric,Basis,Dimension,Log,Pearson Rho,Spearman Rho,Pearson P,Spearman P,n,N Pop,Delta Pearson Spearman,Shape,Preferred Correlation,RelCI 50,RelCI 250,RelCI 500,Plateau n,Plateau Found,Plateau Reached,Timestamp
Max. Trace Length,PD,Size,LOAN_S,0.4637983521,0.4927972397,0.0000000000,0.0000000000,5000,10000,0.0289988876,Linear,Pearson,0.4828002414,0.3781783070,0.3071882040,350.0000000000,True,Y (350),2025-11-26T20:39:00.606107
Max. Trace Length,PD,Size,CREDIT_S,0.4545609226,0.4704549933,0.0000000000,0.0000000000,5000,10000,0.0158940707,Linear,Pearson,0.3564638783,0.4218519300,0.3023583955,350.0000000000,True,Y (350),2025-11-26T20:39:00.610069
Max. Trace Length,PD,Size,MEAN,0.4591796374,0.4816261165,0.0000000000,0.0000000000,5000,10000,0.0224464791,,,0.2098160299,0.2000075592,0.1523866499,200.0000000000,4 / 4,4 / 4 (avg. 200),2025-11-26T20:39:00.840408
Percentage of Distinct Traces,PC,Variation,O2C_S,-0.8038913015,-0.9678819206,0.0000000000,0.0000000000,5000,10000,0.1639906191,Asymptotic,Spearman,0.5524861878,0.4835589942,0.2929973630,,False,N,2025-11-26T20:39:00.613983
Percentage of Distinct Traces,PC,Variation,CLAIM_S,-0.8132508138,-0.9967413875,0.0000000000,0.0000000000,5000,10000,0.1834905737,Asymptotic,Spearman,0.2138579983,0.0000000000,0.1984914649,,False,N,2025-11-26T20:39:00.617884
Percentage of Distinct Traces,PC,Variation,LOAN_S,-0.8431884948,-0.9705169104,0.0000000000,0.0000000000,5000,10000,0.1273284156,Linear,Pearson,0.5745475438,0.3992972369,0.2861867209,,False,N,2025-11-26T20:39:00.621787
Percentage of Distinct Traces,PC,Variation,CREDIT_S,-0.8168223352,-0.9660857673,0.0000000000,0.0000000000,5000,10000,0.1492634321,Linear,Pearson,0.5395683453,0.5167958656,0.4577706569,,False,N,2025-11-26T20:39:00.625768
Percentage of Distinct Traces,PC,Variation,MEAN,-0.8192882363,-0.9753064965,0.0000000000,0.0000000000,5000,10000,0.1560182601,,,0.4701150188,0.3499130242,0.3088615514,,0 / 4,0 / 4,2025-11-26T20:39:00.861138
Average Distinct Activities per Trace,PD,Variation,O2C_S,0.0076795616,-0.0196480697,0.5871991777,0.1647977700,5000,10000,0.0273276313,Linear,Pearson,0.1092761921,0.0486390454,0.0332795172,50.0000000000,True,Y (50),2025-11-26T20:39:00.629688
Average Distinct Activities per Trace,PD,Variation,CLAIM_S,0.0024301954,-0.0138616334,0.8635962964,0.3271021598,5000,10000,0.0162918288,Linear,Pearson,0.1566424501,0.0740983200,0.0547475465,50.0000000000,True,Y (50),2025-11-26T20:39:00.633600
Average Distinct Activities per Trace,PD,Variation,LOAN_S,0.0032614457,-0.0086499286,0.8176550996,0.5408680698,5000,10000,0.0119113743,Linear,Pearson,0.1173630206,0.0523964666,0.0356989040,50.0000000000,True,Y (50),2025-11-26T20:39:00.637489
Average Distinct Activities per Trace,PD,Variation,CREDIT_S,,,,,5000,10000,,Asymptotic,Spearman,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.641578
Average Distinct Activities per Trace,PD,Variation,MEAN,0.0044570676,-0.0140532106,0.7561501912,0.3442559999,5000,10000,0.0185102781,,,0.0958204157,0.0437834580,0.0309314919,50.0000000000,4 / 4,4 / 4 (avg. 50),2025-11-26T20:39:00.826650
Structure,PC,Variation,O2C_S,0.0136000398,-0.0515643306,0.3363148705,0.0002646357,5000,10000,0.0651643704,Linear,Pearson,0.0000000000,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.645540
Structure,PC,Variation,CLAIM_S,-0.3178139647,-0.3187810984,0.0000000000,0.0000000000,5000,10000,0.0009671337,Linear,Pearson,0.0242007551,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.649434
Structure,PC,Variation,LOAN_S,-0.5705289751,-0.5614109134,0.0000000000,0.0000000000,5000,10000,0.0091180617,Linear,Pearson,0.0100107018,0.0075387113,0.0050340300,50.0000000000,True,Y (50),2025-11-26T20:39:00.653278
Structure,PC,Variation,CREDIT_S,-0.2652389429,-0.2793807462,0.0000000000,0.0000000000,5000,10000,0.0141418033,Linear,Pearson,0.0400624975,0.0604789936,0.0608766234,50.0000000000,True,Y (50),2025-11-26T20:39:00.657092
Structure,PC,Variation,MEAN,-0.2849954607,-0.3027842722,0.0840787176,0.0000661589,5000,10000,0.0223478423,,,0.0185684886,0.0170044262,0.0164776634,50.0000000000,4 / 4,4 / 4 (avg. 50),2025-11-26T20:39:00.864692
Estimated Number of Acyclic Paths,PC,Variation,O2C_S,0.0807735603,0.0859405958,0.0000000107,0.0000000012,5000,10000,0.0051670355,Linear,Pearson,0.1692244319,0.0000000000,0.0000000000,50.0000000000,True,Y (50),2025-11-26T20:39:00.661080
Estimated Number of Acyclic Paths,PC,Variation,CLAIM_S,0.3188016248,0.3188016248,0.0000000000,0.0000000000,5000,10000,0.0000000000,Linear,Pearson,0.4922763467,0.0000000000,0.0000000000,150.0000000000,True,Y (150),2025-11-26T20:39:00.664916
Estimated Number of Acyclic Paths,PC,Variation,LOAN_S,0.5741863409,0.5637107368,0.0000000000,0.0000000000,5000,10000,0.0104756041,Linear,Pearson,0.8294046206,0.4969921907,0.3238693921,400.0000000000,True,Y (400),2025-11-26T20:39:00.668784
Estimated Number of Acyclic Paths,PC,Variation,CREDIT_S,0.2602205733,0.2793807462,0.0000000000,0.0000000000,5000,10000,0.0191601729,Linear,Pearson,0.4376819776,0.6768198780,0.6328433923,450.0000000000,True,Y (450),2025-11-26T20:39:00.672587
Estimated Number of Acyclic Paths,PC,Variation,MEAN,0.3084955248,0.3119584259,0.0000000027,0.0000000003,5000,10000,0.0087007031,,,0.4821468442,0.2934530172,0.2391781961,262.5000000000,4 / 4,4 / 4 (avg. 262.5),2025-11-26T20:39:00.836205
Number of Ties in Paths to Goal,CT,Variation,O2C_S,0.5036836853,0.5022461049,0.0000000000,0.0000000000,5000,10000,0.0014375804,Linear,Pearson,0.6344704038,0.5456412890,0.3267911036,450.0000000000,True,Y (450),2025-11-26T20:39:00.676413
Number of Ties in Paths to Goal,CT,Variation,CLAIM_S,0.3037300338,0.3050215595,0.0000000000,0.0000000000,5000,10000,0.0012915258,Linear,Pearson,0.3394586766,0.0000000000,0.3026023805,150.0000000000,True,Y (150),2025-11-26T20:39:00.680314
Number of Ties in Paths to Goal,CT,Variation,LOAN_S,0.8991933517,0.9020431316,0.0000000000,0.0000000000,5000,10000,0.0028497799,Linear,Pearson,0.6277488695,0.3864113634,0.3216766857,,False,N,2025-11-26T20:39:00.684124
Number of Ties in Paths to Goal,CT,Variation,CREDIT_S,0.6909535251,0.6858005487,0.0000000000,0.0000000000,5000,10000,0.0051529765,Linear,Pearson,0.6775067751,0.6318058498,0.5638522385,450.0000000000,True,Y (450),2025-11-26T20:39:00.687959
Number of Ties in Paths to Goal,CT,Variation,MEAN,0.5993901490,0.5987778362,0.0000000000,0.0000000000,5000,10000,0.0026829656,,,0.5697961812,0.3909646256,0.3787306021,,3 / 4,3 / 4,2025-11-26T20:39:00.857600
Lempel-Ziv Complexity,CT,Variation,O2C_S,0.9948378122,0.9950016065,0.0000000000,0.0000000000,5000,10000,0.0001637943,Linear,Pearson,0.0760186499,0.0502544363,0.0368643866,,False,N,2025-11-26T20:39:00.691769
Lempel-Ziv Complexity,CT,Variation,CLAIM_S,0.9941140572,0.9950109334,0.0000000000,0.0000000000,5000,10000,0.0008968762,Linear,Pearson,0.0499993750,0.0593785678,0.0459620773,,False,N,2025-11-26T20:39:00.695583
Lempel-Ziv Complexity,CT,Variation,LOAN_S,0.9952208028,0.9948467706,0.0000000000,0.0000000000,5000,10000,0.0003740322,Linear,Pearson,0.1580591832,0.0802996151,0.0658371619,,False,N,2025-11-26T20:39:00.699463
Lempel-Ziv Complexity,CT,Variation,CREDIT_S,0.9899036851,0.9909732597,0.0000000000,0.0000000000,5000,10000,0.0010695746,Linear,Pearson,0.2020227528,0.1886940924,0.1528890763,,False,N,2025-11-26T20:39:00.703271
Lempel-Ziv Complexity,CT,Variation,MEAN,0.9935190893,0.9939581426,0.0000000000,0.0000000000,5000,10000,0.0006260693,,,0.1215249902,0.0946566779,0.0753881755,,0 / 4,0 / 4,2025-11-26T20:39:00.838580
Average Affinity,CT,Distance,O2C_S,0.0082851202,0.0027736611,0.5580703845,0.8445484939,5000,10000,0.0055114592,Linear,Pearson,0.2718639140,0.1186657819,0.0806201652,50.0000000000,True,Y (50),2025-11-26T20:39:00.707168
Average Affinity,CT,Distance,CLAIM_S,-0.0005295308,0.0095007435,0.9701388631,0.5018057748,5000,10000,0.0100302743,Linear,Pearson,0.2541551734,0.1195219652,0.0889625762,50.0000000000,True,Y (50),2025-11-26T20:39:00.711019
Average Affinity,CT,Distance,LOAN_S,0.0074139424,0.0801447566,0.6001943674,0.0000000139,5000,10000,0.0727308141,Linear,Pearson,0.1165012522,0.0395292303,0.0271249139,50.0000000000,True,Y (50),2025-11-26T20:39:00.714874
Average Affinity,CT,Distance,CREDIT_S,-0.0016698133,0.1045124106,0.9060326416,0.0000000000,5000,10000,0.1061822240,Linear,Pearson,0.0278182430,0.0133253665,0.0090096349,50.0000000000,True,Y (50),2025-11-26T20:39:00.718677
Average Affinity,CT,Distance,MEAN,0.0033749296,0.0492328929,0.7586090641,0.3365885706,5000,10000,0.0486136929,,,0.1675846457,0.0727605860,0.0514293226,50.0000000000,4 / 4,4 / 4 (avg. 50),2025-11-26T20:39:00.823665
Deviation from Random,CT,Distance,O2C_S,0.1143831191,0.0924846759,0.0000000000,0.0000000001,5000,10000,0.0218984431,Linear,Pearson,0.0118888131,0.0052193912,0.0035975223,50.0000000000,True,Y (50),2025-11-26T20:39:00.722511
Deviation from Random,CT,Distance,CLAIM_S,0.1540899435,0.1527481368,0.0000000000,0.0000000000,5000,10000,0.0013418067,Linear,Pearson,0.0087472640,0.0034349596,0.0017897069,50.0000000000,True,Y (50),2025-11-26T20:39:00.726337
Deviation from Random,CT,Distance,LOAN_S,0.1381875525,0.1072660645,0.0000000000,0.0000000000,5000,10000,0.0309214879,Linear,Pearson,0.0116214628,0.0052454069,0.0034605637,50.0000000000,True,Y (50),2025-11-26T20:39:00.730206
Deviation from Random,CT,Distance,CREDIT_S,0.0825424527,0.0131093810,0.0000000051,0.3540401101,5000,10000,0.0694330716,Linear,Pearson,0.0151337279,0.0061129114,0.0041661296,50.0000000000,True,Y (50),2025-11-26T20:39:00.734079
Deviation from Random,CT,Distance,MEAN,0.1223007670,0.0914020645,0.0000000013,0.0885100276,5000,10000,0.0308987023,,,0.0118478169,0.0050031673,0.0032534806,50.0000000000,4 / 4,4 / 4 (avg. 50),2025-11-26T20:39:00.833844
Average Edit Distance,CT,Distance,O2C_S,0.0189399791,0.0092707505,0.1805563446,0.5122158944,5000,10000,0.0096692286,Linear,Pearson,0.6121503772,0.2926652666,0.2017994848,50.0000000000,True,Y (50),2025-11-26T20:39:00.737900
Average Edit Distance,CT,Distance,CLAIM_S,0.0068209006,-0.0068289669,0.6296670553,0.6292620553,5000,10000,0.0136498675,Linear,Pearson,0.4068581393,0.1839332748,0.1508529679,50.0000000000,True,Y (50),2025-11-26T20:39:00.741829
Average Edit Distance,CT,Distance,LOAN_S,0.0057133779,-0.0034502065,0.6862869122,0.8073034933,5000,10000,0.0091635843,Linear,Pearson,0.3123499892,0.1156776419,0.0854266513,50.0000000000,True,Y (50),2025-11-26T20:39:00.745639
Average Edit Distance,CT,Distance,CREDIT_S,0.0095817709,0.0129276253,0.4981650973,0.3607532187,5000,10000,0.0033458544,Linear,Pearson,0.4767784236,0.1926225037,0.1311304220,50.0000000000,True,Y (50),2025-11-26T20:39:00.749478
Average Edit Distance,CT,Distance,MEAN,0.0102640071,0.0029798006,0.4986688524,0.5773836654,5000,10000,0.0089571337,,,0.4520342323,0.1962246717,0.1423023815,50.0000000000,4 / 4,4 / 4 (avg. 50),2025-11-26T20:39:00.829037
Sequence Entropy,CT,Graph Entropy,O2C_S,0.9476650240,0.9659649956,0.0000000000,0.0000000000,5000,10000,0.0182999715,Linear,Pearson,0.7332546710,0.5745825021,0.4738182393,,False,N,2025-11-26T20:39:00.753290
Sequence Entropy,CT,Graph Entropy,CLAIM_S,0.6896638151,0.7333194162,0.0000000000,0.0000000000,5000,10000,0.0436556012,Linear,Pearson,1.8348559738,1.6680123990,1.4532786075,,False,N,2025-11-26T20:39:00.757094
Sequence Entropy,CT,Graph Entropy,LOAN_S,0.9849684935,0.9861209052,0.0000000000,0.0000000000,5000,10000,0.0011524116,Linear,Pearson,0.5520426282,0.3402744946,0.2983297877,,False,N,2025-11-26T20:39:00.760936
Sequence Entropy,CT,Graph Entropy,CREDIT_S,0.9517290095,0.9693060803,0.0000000000,0.0000000000,5000,10000,0.0175770708,Linear,Pearson,0.6938926912,0.5641148225,0.5472132921,,False,N,2025-11-26T20:39:00.765007
Sequence Entropy,CT,Graph Entropy,MEAN,0.8935065855,0.9136778493,0.0000000000,0.0000000000,5000,10000,0.0201712638,,,0.9535114910,0.7867460546,0.6931599817,,0 / 4,0 / 4,2025-11-26T20:39:00.862922
Normalized Sequence Entropy,CT,Graph Entropy,O2C_S,-0.2530928298,-0.3808823595,0.0000000000,0.0000000000,5000,10000,0.1277895297,Linear,Pearson,0.7405144971,0.5657500787,0.4754593499,350.0000000000,True,Y (350),2025-11-26T20:39:00.768951
Normalized Sequence Entropy,CT,Graph Entropy,CLAIM_S,-0.0443476211,-0.1397020777,0.0017091365,0.0000000000,5000,10000,0.0953544567,Linear,Pearson,1.9245667096,1.6585353809,1.4596161573,,False,N,2025-11-26T20:39:00.772785
Normalized Sequence Entropy,CT,Graph Entropy,LOAN_S,-0.4776694990,-0.4442386249,0.0000000000,0.0000000000,5000,10000,0.0334308741,Linear,Pearson,0.4947575054,0.3208153415,0.2849322102,350.0000000000,True,Y (350),2025-11-26T20:39:00.776687
Normalized Sequence Entropy,CT,Graph Entropy,CREDIT_S,-0.3740995717,-0.4030686750,0.0000000000,0.0000000000,5000,10000,0.0289691033,Linear,Pearson,0.6584883632,0.5641230231,0.5462455625,350.0000000000,True,Y (350),2025-11-26T20:39:00.780598
Normalized Sequence Entropy,CT,Graph Entropy,MEAN,-0.2873023804,-0.3419729343,0.0004272841,0.0000000000,5000,10000,0.0713859910,,,0.9545817688,0.7773059560,0.6915633200,,3 / 4,3 / 4,2025-11-26T20:39:00.845138
Variant Entropy,CT,Graph Entropy,O2C_S,0.4946450084,0.4896805098,0.0000000000,0.0000000000,5000,10000,0.0049644985,Linear,Pearson,0.7523824926,0.6600936760,0.5077365500,,False,N,2025-11-26T20:39:00.784484
Variant Entropy,CT,Graph Entropy,CLAIM_S,0.2634336687,0.2242510993,0.0000000000,0.0000000000,5000,10000,0.0391825694,Linear,Pearson,1.0217636426,0.4186500547,0.6153396235,350.0000000000,True,Y (350),2025-11-26T20:39:00.788302
Variant Entropy,CT,Graph Entropy,LOAN_S,0.8846161013,0.8867561647,0.0000000000,0.0000000000,5000,10000,0.0021400635,Linear,Pearson,0.8186838729,0.4517993139,0.3899967869,,False,N,2025-11-26T20:39:00.792163
Variant Entropy,CT,Graph Entropy,CREDIT_S,0.6578559339,0.6752505588,0.0000000000,0.0000000000,5000,10000,0.0173946249,Linear,Pearson,0.9349392775,0.9000500424,0.7662318380,450.0000000000,True,Y (450),2025-11-26T20:39:00.795968
Variant Entropy,CT,Graph Entropy,MEAN,0.5751376781,0.5689845832,0.0000000000,0.0000000000,5000,10000,0.0159204391,,,0.8819423214,0.6076482718,0.5698261996,,2 / 4,2 / 4,2025-11-26T20:39:00.867044
Normalized Variant Entropy,CT,Graph Entropy,O2C_S,0.5073241610,0.4999503749,0.0000000000,0.0000000000,5000,10000,0.0073737861,Linear,Pearson,0.2762568631,0.1884782958,0.1366604333,350.0000000000,True,Y (350),2025-11-26T20:39:00.799788
Normalized Variant Entropy,CT,Graph Entropy,CLAIM_S,0.1809664036,0.1601476077,0.0000000000,0.0000000000,5000,10000,0.0208187959,Linear,Pearson,0.7148879108,0.3691889579,0.3639821220,350.0000000000,True,Y (350),2025-11-26T20:39:00.803600
Normalized Variant Entropy,CT,Graph Entropy,LOAN_S,0.8287000660,0.8599854854,0.0000000000,0.0000000000,5000,10000,0.0312854193,Linear,Pearson,0.1757433392,0.0870663639,0.0637549926,350.0000000000,True,Y (350),2025-11-26T20:39:00.807435
Normalized Variant Entropy,CT,Graph Entropy,CREDIT_S,0.7088867015,0.7093812329,0.0000000000,0.0000000000,5000,10000,0.0004945314,Linear,Pearson,0.2326881582,0.1355476697,0.1172031610,350.0000000000,True,Y (350),2025-11-26T20:39:00.811259
Normalized Variant Entropy,CT,Graph Entropy,MEAN,0.5564693330,0.5573661752,0.0000000000,0.0000000000,5000,10000,0.0149931332,,,0.3498940678,0.1950703218,0.1704001772,350.0000000000,4 / 4,4 / 4 (avg. 350),2025-11-26T20:39:00.846942
